time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2020-01-06,17.43,17.43,17.43,17.43,0,,,,,
2020-01-07,17.43,17.43,17.43,17.43,0,,,,,
2020-01-08,17.43,17.43,17.43,17.43,0,,,,,
2020-01-09,17.43,17.43,17.43,17.43,0,,,,,
2020-01-10,17.43,17.43,17.43,17.43,0,,,,,
2020-01-13,17.43,17.43,17.43,17.43,0,,,,,
2020-01-14,17.43,17.43,17.43,17.43,0,,,,,
2020-01-15,17.43,17.43,17.43,17.43,0,,,,,
2020-01-16,17.43,17.43,17.43,17.43,0,,,,,
2020-01-17,17.43,17.43,17.43,17.43,0,,,,,
2020-01-20,17.43,17.43,17.43,17.43,0,,,,,
2020-01-21,17.43,17.43,17.43,17.43,0,,,,,
2020-01-22,17.43,17.43,17.43,17.43,0,,,,,
2020-01-30,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,
2020-01-31,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-03,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-04,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-05,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-06,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-07,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-10,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-11,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-12,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-13,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-14,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-17,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-18,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-19,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-20,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-21,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-24,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-25,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-26,17.43,17.43,17.43,17.43,0,-66.66666666666667,,,,0.0
2020-02-27,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-02-28,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-02,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-03,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-04,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-05,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-06,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-09,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-10,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-11,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-12,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-13,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-16,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-17,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-18,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-19,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-20,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-23,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-24,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-25,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-26,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-27,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-30,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-03-31,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-01,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-03,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-06,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-07,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-08,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-09,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-10,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-13,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-14,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-15,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-16,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-17,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-20,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-21,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-22,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-23,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-24,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-27,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-28,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-04-29,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-04,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-05,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-06,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-07,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-08,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-11,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-12,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-13,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-14,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-15,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-18,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-19,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-20,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-21,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-22,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-25,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-26,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-27,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-28,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-05-29,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-01,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-02,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-03,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-04,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-05,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-08,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-09,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-10,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-11,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-12,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-15,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-16,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-17,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-18,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-19,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-22,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-23,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-24,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-25,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-26,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-29,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-06-30,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-07-01,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-07-02,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-07-03,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-07-06,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
2020-07-07,17.43,17.43,17.43,17.43,0,-66.66666666666667,0.0,0.0,0.0,0.0
