time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,0.64,0.64,0.64,0.64,0,,,,,
2018-01-03,0.64,0.64,0.64,0.64,0,,,,,
2018-01-04,0.64,0.64,0.64,0.64,0,,,,,
2018-01-05,0.64,0.64,0.64,0.64,0,,,,,
2018-01-08,0.64,0.64,0.64,0.64,0,,,,,
2018-01-09,0.64,0.64,0.64,0.64,0,,,,,
2018-01-10,0.64,0.64,0.64,0.64,0,,,,,
2018-01-11,0.64,0.64,0.64,0.64,0,,,,,
2018-01-12,0.64,0.64,0.64,0.64,0,,,,,
2018-01-15,0.64,0.64,0.64,0.64,0,,,,,
2018-01-16,0.64,0.64,0.64,0.64,0,,,,,
2018-01-17,0.64,0.64,0.64,0.64,0,,,,,
2018-01-18,0.64,0.64,0.64,0.64,0,,,,,
2018-01-19,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,
2018-01-22,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-23,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-24,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-25,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-26,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-29,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-30,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-01-31,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-01,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-02,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-05,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-06,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-07,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-08,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-09,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-12,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-13,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-21,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-22,0.64,0.64,0.64,0.64,0,66.66666666666667,,,,0.0
2018-02-23,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-02-26,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-02-27,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-02-28,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-01,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-02,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-05,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-06,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-07,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-08,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-09,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-12,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-13,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-14,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-15,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-16,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-19,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-20,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-21,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
2018-03-22,0.64,0.64,0.64,0.64,0,66.66666666666667,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0
