time,open,high,low,close,volume
2018-01-02,8.6,8.75,8.5,8.61,190820
2018-01-03,8.51,8.65,8.47,8.59,1856250
2018-01-04,8.59,8.84,8.52,8.61,707430
2018-01-05,8.58,8.8,8.55,8.76,2393610
2018-01-08,8.8,9.0,8.7,8.75,601320
2018-01-09,8.75,8.95,8.69,8.72,433380
2018-01-10,8.71,8.79,8.5,8.5,648120
2018-01-11,8.6,8.6,8.38,8.4,741710
2018-01-12,8.4,8.7,8.3,8.39,1589950
2018-01-15,8.39,8.55,8.35,8.38,1479940
2018-01-16,8.39,8.52,8.35,8.37,403360
2018-01-17,8.37,8.48,8.35,8.37,901250
2018-01-18,8.35,8.4,8.19,8.22,341170
2018-01-19,8.21,8.25,8.02,8.03,998840
2018-01-22,8.03,8.2,7.64,7.66,1037520
2018-01-23,7.66,7.66,7.66,7.66,0
2018-01-24,7.66,7.66,7.66,7.66,0
2018-01-25,7.63,7.66,7.21,7.25,2121580
2018-01-26,7.25,7.6,7.25,7.6,757420
2018-01-29,7.7,8.13,7.7,8.12,1504440
2018-01-30,8.25,8.68,8.14,8.68,1238730
2018-01-31,9.13,9.28,8.8,9.26,2671410
2018-02-01,9.3,9.31,8.99,9.26,3538320
2018-02-02,9.01,9.5,8.9,9.37,1524060
2018-02-05,9.21,9.45,9.15,9.36,2225240
2018-02-06,8.75,8.9,8.71,8.71,1016880
2018-02-07,9.1,9.2,8.6,9.2,702040
2018-02-08,9.2,9.8,9.11,9.3,1122380
2018-02-09,9.1,9.25,8.9,9.25,469430
2018-02-12,9.25,9.7,9.25,9.65,1456880
2018-02-13,10.0,10.0,9.6,10.0,553120
2018-02-21,10.0,10.2,10.0,10.05,832890
2018-02-22,10.0,10.0,9.6,9.6,313160
2018-02-23,9.5,9.6,9.19,9.3,882330
2018-02-26,9.2,9.5,9.1,9.38,1661790
2018-02-27,9.35,9.49,9.25,9.38,924330
2018-02-28,9.3,9.86,9.3,9.84,2190910
2018-03-01,9.84,10.5,9.84,10.5,3311830
2018-03-02,10.5,11.2,10.5,11.2,3006420
2018-03-05,11.2,11.4,10.5,11.15,3534960
2018-03-06,10.65,11.4,10.65,11.3,3324520
2018-03-07,11.25,11.45,10.7,10.7,3541310
2018-03-08,10.65,11.0,10.65,10.8,1792510
2018-03-09,10.8,11.2,10.8,10.95,3761330
2018-03-12,10.9,11.0,10.4,10.8,2580340
2018-03-13,10.6,11.55,10.6,11.55,1985440
2018-03-14,11.55,12.35,11.55,11.9,3897520
2018-03-15,11.65,11.9,11.35,11.5,2281310
2018-03-16,11.3,11.6,11.15,11.6,3125460
2018-03-19,11.35,11.5,11.0,11.4,2443910
2018-03-20,11.0,11.35,10.65,10.65,2963110
2018-03-21,10.65,10.95,9.91,9.91,3915670
2018-03-22,9.23,10.4,9.22,10.05,7747440
2018-03-23,9.8,10.0,9.35,9.35,3287610
2018-03-26,9.24,9.48,8.77,8.8,2645430
2018-03-27,8.8,9.08,8.8,8.95,1855790
2018-03-28,8.83,9.2,8.48,9.06,3333830
2018-03-29,9.02,9.2,8.91,9.0,1645420
2018-03-30,8.9,8.99,8.8,8.8,1011130
2018-04-02,8.8,8.8,8.37,8.8,1532730
2018-04-03,8.88,8.88,8.59,8.66,3093700
2018-04-04,8.66,8.9,8.66,8.72,3090520
2018-04-05,8.72,8.95,8.72,8.8,3217820
2018-04-06,8.82,8.9,8.69,8.7,3159490
2018-04-09,8.8,8.8,8.41,8.41,1284640
2018-04-10,8.4,8.4,7.83,7.86,1839880
2018-04-11,7.86,7.99,7.36,7.4,877820
2018-04-12,7.29,7.64,7.28,7.6,797270
2018-04-13,7.7,7.7,7.48,7.56,610030
2018-04-16,7.69,7.69,7.46,7.59,367260
2018-04-17,7.62,7.66,7.45,7.49,496940
2018-04-18,7.6,7.6,7.39,7.39,511940
2018-04-19,7.36,7.5,6.93,7.24,294490
2018-04-20,7.22,7.26,7.02,7.26,367610
2018-04-23,7.16,7.25,6.76,6.76,710100
2018-04-24,6.61,6.61,6.29,6.29,857250
2018-04-26,6.29,6.29,5.85,5.85,1109000
2018-04-27,5.95,6.1,5.51,5.75,637520
2018-05-02,5.7,5.95,5.5,5.75,318230
2018-05-03,5.75,5.75,5.5,5.7,147040
2018-05-04,5.7,5.75,5.62,5.72,423400
2018-05-07,5.7,5.88,5.6,5.72,395940
2018-05-08,5.8,5.99,5.72,5.8,323780
2018-05-09,5.8,5.83,5.67,5.79,268570
2018-05-10,5.79,5.79,5.66,5.75,392620
2018-05-11,5.75,5.75,5.56,5.74,344620
2018-05-14,5.7,5.75,5.58,5.7,413830
2018-05-15,5.7,5.7,5.59,5.69,295640
2018-05-16,5.69,5.69,5.5,5.65,567020
2018-05-17,5.65,5.65,5.45,5.6,332570
2018-05-18,5.46,5.6,5.3,5.5,389850
2018-05-21,5.3,5.5,5.12,5.12,565440
2018-05-22,4.77,5.1,4.77,4.81,3087840
2018-05-23,4.7,4.86,4.6,4.74,545350
2018-05-24,4.74,4.74,4.51,4.51,378610
2018-05-25,4.52,4.52,4.39,4.5,1221190
2018-05-28,4.47,4.6,4.4,4.5,1039970
2018-05-29,4.5,4.81,4.5,4.81,848260
2018-05-30,4.81,5.14,4.81,5.14,342150
2018-05-31,5.49,5.49,5.49,5.49,150970
2018-06-01,5.87,5.87,5.87,5.87,119830
2018-06-04,6.28,6.28,6.28,6.28,524840
2018-06-05,6.71,6.71,6.4,6.71,2609660
2018-06-06,6.6,6.89,6.25,6.25,689380
2018-06-07,6.0,6.22,5.82,6.0,1407060
2018-06-08,5.85,5.98,5.6,5.6,923860
2018-06-11,5.6,5.99,5.53,5.6,2211940
2018-06-12,5.6,5.6,5.32,5.45,468310
2018-06-13,5.4,5.76,5.4,5.7,253950
2018-06-14,5.7,5.96,5.7,5.82,1055330
2018-06-15,5.82,5.89,5.75,5.84,419770
2018-06-18,5.91,5.91,5.77,5.82,900250
2018-06-19,5.65,5.7,5.46,5.46,878020
2018-06-20,5.66,5.84,5.48,5.84,388890
2018-06-21,6.24,6.24,6.0,6.0,1119480
2018-06-22,6.07,6.24,6.0,6.18,255270
2018-06-25,6.18,6.26,6.06,6.1,282100
2018-06-26,6.01,6.01,5.95,6.0,235780
2018-06-27,5.9,6.1,5.7,5.85,183510
2018-06-28,5.85,5.86,5.5,5.65,268180
2018-06-29,5.7,5.8,5.5,5.67,212960
2018-07-02,5.65,5.79,5.29,5.62,799200
2018-07-03,5.68,5.68,5.45,5.45,555630
2018-07-04,5.15,5.49,5.14,5.14,824410
2018-07-05,5.43,5.43,4.84,5.1,474920
2018-07-06,5.0,5.2,5.0,5.2,155940
2018-07-09,5.29,5.29,5.03,5.06,96820
2018-07-10,5.06,5.18,5.01,5.1,109260
2018-07-11,5.0,5.1,4.9,5.07,121130
2018-07-12,5.05,5.08,4.91,5.0,173350
2018-07-13,5.08,5.35,4.98,5.35,395370
2018-07-16,5.34,5.69,5.34,5.59,188790
2018-07-17,5.5,5.8,5.4,5.79,166270
2018-07-18,5.52,5.88,5.52,5.77,185660
2018-07-19,5.7,5.77,5.6,5.7,233290
2018-07-20,5.7,6.0,5.68,5.8,359470
2018-07-23,5.8,5.9,5.51,5.6,268430
2018-07-24,5.74,5.74,5.42,5.5,352370
2018-07-25,5.36,5.88,5.36,5.88,973410
2018-07-26,6.0,6.1,5.7,5.84,333950
2018-07-27,5.9,5.9,5.81,5.83,295970
2018-07-30,5.73,5.84,5.65,5.7,351090
2018-07-31,5.7,5.74,5.6,5.61,344920
2018-08-01,5.65,5.95,5.61,5.75,316990
2018-08-02,5.8,5.99,5.76,5.77,444950
2018-08-03,5.88,5.89,5.52,5.52,235120
2018-08-06,5.72,5.72,5.5,5.52,224930
2018-08-07,5.52,5.52,5.21,5.3,308930
2018-08-08,5.3,5.39,5.25,5.3,236890
2018-08-09,5.25,5.38,5.22,5.26,230190
2018-08-10,5.26,5.35,5.24,5.26,63270
2018-08-13,5.3,5.42,5.28,5.41,90540
2018-08-14,5.4,5.48,5.38,5.39,223030
2018-08-15,5.39,5.39,5.3,5.34,142050
2018-08-16,5.34,5.34,5.2,5.32,155100
2018-08-17,5.39,5.39,5.2,5.2,138020
2018-08-20,5.17,5.34,5.17,5.2,191940
2018-08-21,5.2,5.35,5.2,5.35,145460
2018-08-22,5.35,5.39,5.3,5.34,159080
2018-08-23,5.37,5.37,5.25,5.27,98480
2018-08-24,5.36,5.36,5.2,5.23,148460
2018-08-27,5.3,5.33,5.21,5.23,142000
2018-08-28,5.24,5.32,5.13,5.13,268450
2018-08-29,5.13,5.15,4.9,5.1,388050
2018-08-30,5.03,5.4,5.02,5.15,277970
2018-08-31,5.3,5.42,5.2,5.35,470520
2018-09-04,5.35,5.72,5.35,5.72,657740
2018-09-05,6.1,6.11,5.8,5.87,1334670
2018-09-06,5.49,5.89,5.49,5.6,988900
2018-09-07,5.62,5.99,5.61,5.99,1307980
2018-09-10,6.2,6.35,6.1,6.25,1190430
2018-09-11,6.25,6.3,6.05,6.18,883480
2018-09-12,6.18,6.49,5.82,6.3,1502950
2018-09-13,6.28,6.35,6.1,6.1,1365220
2018-09-14,6.1,6.25,6.05,6.05,591260
2018-09-17,6.18,6.18,5.9,5.91,442130
2018-09-18,5.91,6.06,5.9,6.06,512460
2018-09-19,6.06,6.3,6.01,6.18,1251620
2018-09-20,6.2,6.4,6.2,6.24,1221840
2018-09-21,6.24,6.37,6.07,6.2,1180050
2018-09-24,6.2,6.28,6.09,6.09,420640
2018-09-25,6.03,6.13,5.95,6.09,1287230
2018-09-26,6.09,6.27,6.09,6.11,1248740
2018-09-27,6.1,6.15,6.09,6.1,616980
2018-09-28,6.1,6.1,6.0,6.0,1065400
2018-10-01,6.01,6.15,5.71,5.71,909930
2018-10-02,5.71,6.05,5.71,5.82,734640
2018-10-03,5.82,5.9,5.75,5.8,286700
2018-10-04,5.8,5.89,5.74,5.8,356690
2018-10-05,5.77,5.84,5.7,5.7,422600
2018-10-08,5.7,5.73,5.53,5.59,566610
2018-10-09,5.59,5.63,5.37,5.39,679460
2018-10-10,5.37,5.48,5.37,5.37,452110
2018-10-11,5.2,5.38,5.05,5.05,811710
2018-10-12,4.91,5.19,4.91,5.12,263450
2018-10-15,5.3,5.3,5.05,5.05,90170
2018-10-16,5.05,5.14,5.04,5.13,201870
2018-10-17,5.2,5.48,5.2,5.48,1334370
2018-10-18,5.55,5.8,5.48,5.55,1049980
2018-10-19,5.4,5.59,5.4,5.5,162410
2018-10-22,5.56,5.56,5.3,5.3,285970
2018-10-23,5.4,5.4,5.2,5.4,655200
2018-10-24,5.41,5.55,5.3,5.47,593920
2018-10-25,5.2,5.35,5.2,5.34,352460
2018-10-26,5.4,5.4,5.25,5.31,327170
2018-10-29,5.26,5.29,5.09,5.09,132900
2018-10-30,5.0,5.19,5.0,5.0,430650
2018-10-31,5.18,5.19,5.08,5.14,600600
2018-11-01,5.14,5.14,4.9,4.9,375650
2018-11-02,4.99,5.09,4.9,5.04,265840
2018-11-05,5.1,5.14,5.0,5.05,116260
2018-11-06,5.14,5.35,5.09,5.2,608060
2018-11-07,5.22,5.51,5.2,5.33,1300990
2018-11-08,5.4,5.51,5.35,5.37,1064010
2018-11-09,5.39,5.39,5.24,5.24,490770
2018-11-12,5.24,5.24,5.15,5.15,294160
2018-11-13,5.05,5.19,5.05,5.15,288460
2018-11-14,5.17,5.29,5.15,5.16,225330
2018-11-15,5.17,5.17,5.07,5.13,233890
2018-11-16,5.15,5.21,5.11,5.14,648970
2018-11-19,5.14,5.19,5.08,5.14,794910
2018-11-20,5.16,5.16,5.1,5.13,531500
2018-11-21,5.1,5.11,5.05,5.09,400280
2018-11-22,5.15,5.18,5.09,5.18,291690
2018-11-23,5.2,5.2,5.1,5.12,449230
2018-11-26,5.14,5.14,5.05,5.1,400930
2018-11-27,5.11,5.15,5.08,5.1,297420
2018-11-28,5.12,5.13,5.09,5.12,448390
2018-11-29,5.1,5.13,5.05,5.05,322420
2018-11-30,5.09,5.09,5.03,5.06,142470
2018-12-03,5.11,5.13,5.06,5.07,533530
2018-12-04,5.1,5.1,5.04,5.05,430920
2018-12-05,5.01,5.08,5.0,5.05,126680
2018-12-06,5.0,5.07,5.0,5.0,315120
2018-12-07,5.01,5.3,5.01,5.24,1288150
2018-12-10,5.24,5.36,5.22,5.3,1094600
2018-12-11,5.3,5.31,5.15,5.15,626870
2018-12-12,5.15,5.29,5.15,5.29,602360
2018-12-13,5.3,5.39,5.26,5.3,542030
2018-12-14,5.25,5.33,5.14,5.14,377700
2018-12-17,5.1,5.2,5.08,5.08,408640
2018-12-18,5.1,5.1,5.04,5.05,540720
2018-12-19,5.05,5.09,5.05,5.08,133210
2018-12-20,5.09,5.09,5.03,5.07,128650
2018-12-21,5.07,5.07,5.02,5.02,355260
2018-12-24,5.07,5.1,5.0,5.02,155270
2018-12-25,5.02,5.02,4.83,4.9,247830
2018-12-26,5.0,5.0,4.85,4.9,161240
2018-12-27,5.0,5.0,4.86,4.86,147020
2018-12-28,4.98,4.98,4.86,4.86,139060
2019-01-02,4.96,4.96,4.77,4.8,165940
2019-01-03,4.89,4.89,4.5,4.5,471720
2019-01-04,4.4,4.5,4.34,4.36,464690
2019-01-07,4.49,4.52,4.36,4.36,87990
2019-01-08,4.36,4.48,4.3,4.3,204280
2019-01-09,4.49,4.49,4.36,4.38,73110
2019-01-10,4.38,4.44,4.38,4.44,50280
2019-01-11,4.3,4.44,4.3,4.42,115280
2019-01-14,4.38,4.39,4.29,4.34,65820
2019-01-15,4.34,4.42,4.3,4.38,609350
2019-01-16,4.38,4.42,4.33,4.4,553810
2019-01-17,4.42,4.48,4.35,4.48,114620
2019-01-18,4.4,4.72,4.4,4.53,657880
2019-01-21,4.51,4.64,4.47,4.53,535000
2019-01-22,4.53,4.67,4.53,4.64,1400740
2019-01-23,4.6,4.64,4.53,4.64,853990
2019-01-24,4.62,4.62,4.51,4.51,381980
2019-01-25,4.25,4.59,4.25,4.5,589210
2019-01-28,4.51,4.51,4.3,4.41,813660
2019-01-29,4.41,4.49,4.32,4.4,106350
