time,open,high,low,close,volume
2018-01-02,7.69,7.69,7.69,7.69,0
2018-01-03,7.69,7.69,7.69,7.69,0
2018-01-04,7.69,7.69,7.69,7.69,0
2018-01-05,7.69,7.69,7.69,7.69,0
2018-01-08,7.69,7.69,7.69,7.69,0
2018-01-09,7.69,7.69,7.69,7.69,0
2018-01-10,7.69,7.69,7.69,7.69,0
2018-01-11,7.69,7.69,7.69,7.69,0
2018-01-12,7.69,7.69,7.69,7.69,0
2018-01-15,7.69,7.69,7.69,7.69,0
2018-01-16,7.69,7.69,7.69,7.69,0
2018-01-17,7.69,7.69,7.69,7.69,0
2018-01-18,7.69,7.69,7.69,7.69,0
2018-01-19,7.69,7.69,7.69,7.69,0
2018-01-22,7.69,7.69,7.69,7.69,0
2018-01-23,7.69,7.69,7.69,7.69,0
2018-01-24,7.69,7.69,7.69,7.69,0
2018-01-25,7.69,7.69,7.69,7.69,0
2018-01-26,7.69,7.69,7.69,7.69,0
2018-01-29,7.69,7.69,7.69,7.69,0
2018-01-30,7.69,7.69,7.69,7.69,0
2018-01-31,7.69,7.69,7.69,7.69,0
2018-02-01,7.69,7.69,7.69,7.69,0
2018-02-02,7.69,7.69,7.69,7.69,0
2018-02-05,7.69,7.69,7.69,7.69,0
2018-02-06,7.69,7.69,7.69,7.69,0
2018-02-07,7.69,7.69,7.69,7.69,0
2018-02-08,7.69,7.69,7.69,7.69,0
2018-02-09,7.69,7.69,7.69,7.69,0
2018-02-12,7.69,7.69,7.69,7.69,0
2018-02-13,7.69,7.69,7.69,7.69,0
2018-02-21,7.69,7.69,7.69,7.69,0
2018-02-22,7.69,7.69,7.69,7.69,0
2018-02-23,7.69,7.69,7.69,7.69,0
2018-02-26,7.69,7.69,7.69,7.69,0
2018-02-27,7.69,7.69,7.69,7.69,0
2018-02-28,7.69,7.69,7.69,7.69,0
2018-03-01,7.69,7.69,7.69,7.69,0
2018-03-02,7.69,7.69,7.69,7.69,0
2018-03-05,7.69,7.69,7.69,7.69,0
2018-03-06,7.69,7.69,7.69,7.69,0
2018-03-07,7.69,7.69,7.69,7.69,0
2018-03-08,7.69,7.69,7.69,7.69,0
2018-03-09,7.69,7.69,7.69,7.69,0
2018-03-12,7.69,7.69,7.69,7.69,0
2018-03-13,7.69,7.69,7.69,7.69,0
2018-03-14,7.69,7.69,7.69,7.69,0
2018-03-15,7.69,7.69,7.69,7.69,0
2018-03-16,7.69,7.69,7.69,7.69,0
2018-03-19,7.69,7.69,7.69,7.69,0
2018-03-20,7.69,7.69,7.69,7.69,0
2018-03-21,7.69,7.69,7.69,7.69,0
2018-03-22,7.69,7.69,7.69,7.69,0
2018-03-23,7.69,7.69,7.69,7.69,0
2018-03-26,7.69,7.69,7.69,7.69,0
2018-03-27,7.69,7.69,7.69,7.69,0
2018-03-28,7.69,7.69,7.69,7.69,0
2018-03-29,7.69,7.69,7.69,7.69,0
2018-03-30,7.69,7.69,7.69,7.69,0
2018-04-02,7.69,7.69,7.69,7.69,0
2018-04-03,7.69,7.69,7.69,7.69,0
2018-04-04,7.69,7.69,7.69,7.69,0
2018-04-05,7.69,7.69,7.69,7.69,0
2018-04-06,7.69,7.69,7.69,7.69,0
2018-04-09,7.69,7.69,7.69,7.69,0
2018-04-10,7.69,7.69,7.69,7.69,0
2018-04-11,7.69,7.69,7.69,7.69,0
2018-04-12,7.69,7.69,7.69,7.69,0
2018-04-13,7.69,7.69,7.69,7.69,0
2018-04-16,7.69,7.69,7.69,7.69,0
2018-04-17,7.69,7.69,7.69,7.69,0
2018-04-18,7.69,7.69,7.69,7.69,0
2018-04-19,7.69,7.69,7.69,7.69,0
2018-04-20,7.69,7.69,7.69,7.69,0
2018-04-23,7.69,7.69,7.69,7.69,0
2018-04-24,7.69,7.69,7.69,7.69,0
2018-04-26,7.69,7.69,7.69,7.69,0
2018-04-27,7.69,7.69,7.69,7.69,0
2018-05-02,7.69,7.69,7.69,7.69,0
2018-05-03,7.69,7.69,7.69,7.69,0
2018-05-04,7.69,7.69,7.69,7.69,0
2018-05-07,7.69,7.69,7.69,7.69,0
2018-05-08,7.69,7.69,7.69,7.69,0
2018-05-09,7.69,7.69,7.69,7.69,0
2018-05-10,7.69,7.69,7.69,7.69,0
2018-05-11,7.69,7.69,7.69,7.69,0
2018-05-14,7.69,7.69,7.69,7.69,0
2018-05-15,7.69,7.69,7.69,7.69,0
2018-05-16,7.69,7.69,7.69,7.69,0
2018-05-17,7.69,7.69,7.69,7.69,0
2018-05-18,7.69,7.69,7.69,7.69,0
2018-05-21,7.69,7.69,7.69,7.69,0
2018-05-22,7.69,7.69,7.69,7.69,0
2018-05-23,7.69,7.69,7.69,7.69,0
2018-05-24,7.69,7.69,7.69,7.69,0
2018-05-25,7.69,7.69,7.69,7.69,0
2018-05-28,7.69,7.69,7.69,7.69,0
2018-05-29,7.69,7.69,7.69,7.69,0
2018-05-30,7.69,7.69,7.69,7.69,0
2018-05-31,7.69,7.69,7.69,7.69,0
2018-06-01,7.69,7.69,7.69,7.69,0
2018-06-04,7.69,7.69,7.69,7.69,0
2018-06-05,7.69,7.69,7.69,7.69,0
2018-06-06,7.69,7.69,7.69,7.69,0
2018-06-07,7.69,7.69,7.69,7.69,0
2018-06-08,7.69,7.69,7.69,7.69,0
2018-06-11,7.69,7.69,7.69,7.69,0
2018-06-12,7.69,7.69,7.69,7.69,0
2018-06-13,7.69,7.69,7.69,7.69,0
2018-06-14,7.69,7.69,7.69,7.69,0
2018-06-15,7.69,7.69,7.69,7.69,0
2018-06-18,7.69,7.69,7.69,7.69,0
2018-06-19,7.69,7.69,7.69,7.69,0
2018-06-20,7.69,7.69,7.69,7.69,0
2018-06-21,7.69,7.69,7.69,7.69,0
2018-06-22,7.69,7.69,7.69,7.69,0
2018-06-25,7.69,7.69,7.69,7.69,0
2018-06-26,7.69,7.69,7.69,7.69,0
2018-06-27,7.69,7.69,7.69,7.69,0
2018-06-28,7.69,7.69,7.69,7.69,0
2018-06-29,7.69,7.69,7.69,7.69,0
2018-07-02,7.69,7.69,7.69,7.69,0
2018-07-03,7.69,7.69,7.69,7.69,0
2018-07-04,7.69,7.69,7.69,7.69,0
2018-07-05,7.69,7.69,7.69,7.69,0
2018-07-06,7.69,7.69,7.69,7.69,0
2018-07-09,7.69,7.69,7.69,7.69,0
2018-07-10,7.69,7.69,7.69,7.69,0
2018-07-11,7.69,7.69,7.69,7.69,0
2018-07-12,7.69,7.69,7.69,7.69,0
2018-07-13,7.69,7.69,7.69,7.69,0
2018-07-16,7.69,7.69,7.69,7.69,0
2018-07-17,7.69,7.69,7.69,7.69,0
2018-07-18,7.69,7.69,7.69,7.69,0
2018-07-19,7.69,7.69,7.69,7.69,0
2018-07-20,7.69,7.69,7.69,7.69,0
2018-07-23,7.69,7.69,7.69,7.69,0
2018-07-24,7.69,7.69,7.69,7.69,0
2018-07-25,7.69,7.69,7.69,7.69,0
2018-07-26,7.69,7.69,7.69,7.69,0
2018-07-27,7.69,7.69,7.69,7.69,0
2018-07-30,7.69,7.69,7.69,7.69,0
2018-07-31,7.69,7.69,7.69,7.69,0
2018-08-01,7.69,7.69,7.69,7.69,0
2018-08-02,7.69,7.69,7.69,7.69,0
2018-08-03,7.69,7.69,7.69,7.69,0
2018-08-06,7.69,7.69,7.69,7.69,0
2018-08-07,7.69,7.69,7.69,7.69,0
2018-08-08,7.69,7.69,7.69,7.69,0
2018-08-09,7.69,7.69,7.69,7.69,0
2018-08-10,7.69,7.69,7.69,7.69,0
2018-08-13,7.69,7.69,7.69,7.69,0
2018-08-14,7.69,7.69,7.69,7.69,0
2018-08-15,7.69,7.69,7.69,7.69,0
2018-08-16,7.69,7.69,7.69,7.69,0
2018-08-17,7.69,7.69,7.69,7.69,0
2018-08-20,7.69,7.69,7.69,7.69,0
