time,open,high,low,close,volume
2019-12-30,10.4,10.4,10.4,10.4,0
2019-12-31,10.4,10.4,10.4,10.4,0
2020-01-02,10.4,10.4,10.4,10.4,0
2020-01-03,10.4,10.4,10.4,10.4,0
2020-01-06,10.4,10.4,10.4,10.4,0
2020-01-07,10.4,10.4,10.4,10.4,0
2020-01-08,10.4,10.4,10.4,10.4,0
2020-01-09,10.4,10.4,10.4,10.4,0
2020-01-10,10.4,10.4,10.4,10.4,0
2020-01-13,10.4,10.4,10.4,10.4,0
2020-01-14,10.4,10.4,10.4,10.4,0
2020-01-15,10.4,10.4,10.4,10.4,0
2020-01-16,10.4,10.4,10.4,10.4,0
2020-01-17,10.4,10.4,10.4,10.4,0
2020-01-20,10.4,10.4,10.4,10.4,0
2020-01-21,10.4,10.4,10.4,10.4,0
2020-01-22,10.4,10.4,10.4,10.4,0
2020-01-30,10.4,10.4,10.4,10.4,0
2020-01-31,10.4,10.4,10.4,10.4,0
2020-02-03,10.4,10.4,10.4,10.4,0
2020-02-04,10.4,10.4,10.4,10.4,0
2020-02-05,10.4,10.4,10.4,10.4,0
2020-02-06,12.0,12.0,12.0,12.0,8300
2020-02-07,12.0,12.0,12.0,12.0,0
2020-02-10,12.0,12.0,12.0,12.0,0
2020-02-11,12.0,12.0,12.0,12.0,0
2020-02-12,12.0,12.0,12.0,12.0,0
2020-02-13,12.0,12.0,12.0,12.0,0
2020-02-14,12.0,12.0,12.0,12.0,0
2020-02-17,12.0,12.0,12.0,12.0,2100
2020-02-18,12.0,12.0,12.0,12.0,0
2020-02-19,12.0,12.0,12.0,12.0,0
2020-02-20,12.0,12.0,12.0,12.0,0
2020-02-21,12.0,12.0,12.0,12.0,0
2020-02-24,12.0,12.0,12.0,12.0,0
2020-02-25,12.0,12.0,12.0,12.0,0
2020-02-26,12.0,12.0,12.0,12.0,0
2020-02-27,12.0,12.0,12.0,12.0,0
2020-02-28,12.0,12.0,12.0,12.0,0
2020-03-02,12.0,12.0,12.0,12.0,0
2020-03-03,12.0,12.0,12.0,12.0,0
2020-03-04,12.0,12.0,12.0,12.0,0
2020-03-05,12.0,12.0,12.0,12.0,0
2020-03-06,12.0,12.0,12.0,12.0,0
2020-03-09,12.0,12.0,12.0,12.0,0
2020-03-10,12.0,12.0,12.0,12.0,0
2020-03-11,12.0,12.0,12.0,12.0,0
2020-03-12,12.0,12.0,12.0,12.0,0
2020-03-13,12.0,12.0,12.0,12.0,0
2020-03-16,12.0,12.0,12.0,12.0,0
2020-03-17,12.0,12.0,12.0,12.0,0
2020-03-18,12.0,12.0,12.0,12.0,0
2020-03-19,12.0,12.0,12.0,12.0,0
2020-03-20,12.0,12.0,12.0,12.0,0
2020-03-23,12.0,12.0,12.0,12.0,0
2020-03-24,12.0,12.0,12.0,12.0,0
2020-03-25,12.0,12.0,12.0,12.0,0
2020-03-26,12.0,12.0,12.0,12.0,0
2020-03-27,12.0,12.0,12.0,12.0,0
2020-03-30,12.0,12.0,12.0,12.0,0
2020-03-31,12.0,12.0,12.0,12.0,0
2020-04-01,12.0,12.0,12.0,12.0,0
2020-04-03,12.0,12.0,12.0,12.0,0
2020-04-06,12.0,12.0,12.0,12.0,0
2020-04-07,12.0,12.0,12.0,12.0,0
2020-04-08,12.0,12.0,12.0,12.0,0
2020-04-09,12.0,12.0,12.0,12.0,0
2020-04-10,12.0,12.0,12.0,12.0,0
2020-04-13,12.0,12.0,12.0,12.0,0
2020-04-14,12.0,12.0,12.0,12.0,0
2020-04-15,12.0,12.0,12.0,12.0,0
2020-04-16,12.0,12.0,12.0,12.0,0
2020-04-17,12.0,12.0,12.0,12.0,0
