time,open,high,low,close,volume
2018-04-09,8.86,8.86,8.86,8.86,0
2018-04-10,8.86,8.86,8.86,8.86,0
2018-04-11,8.86,8.86,8.86,8.86,0
2018-04-12,8.86,8.86,8.86,8.86,0
2018-04-13,8.86,8.86,8.86,8.86,0
2018-04-16,8.86,8.86,8.86,8.86,0
2018-04-17,8.86,8.86,8.86,8.86,0
2018-04-18,8.86,8.86,8.86,8.86,0
2018-04-19,8.86,8.86,8.86,8.86,0
2018-04-20,8.86,8.86,8.86,8.86,0
2018-04-23,8.86,8.86,8.86,8.86,0
2018-04-24,8.86,8.86,8.86,8.86,0
2018-04-26,8.86,8.86,8.86,8.86,0
2018-04-27,8.86,8.86,8.86,8.86,0
2018-05-02,8.86,8.86,8.86,8.86,0
2018-05-03,8.86,8.86,8.86,8.86,0
2018-05-04,8.86,8.86,8.86,8.86,0
2018-05-07,8.86,8.86,8.86,8.86,0
2018-05-08,8.86,8.86,8.86,8.86,0
2018-05-09,8.86,8.86,8.86,8.86,0
2018-05-10,8.86,8.86,8.86,8.86,0
2018-05-11,8.86,8.86,8.86,8.86,0
2018-05-14,8.86,8.86,8.86,8.86,0
2018-05-15,8.86,8.86,8.86,8.86,0
2018-05-16,8.86,8.86,8.86,8.86,0
2018-05-17,8.86,8.86,8.86,8.86,0
2018-05-18,8.86,8.86,8.86,8.86,0
2018-05-21,8.86,8.86,8.86,8.86,0
2018-05-22,8.86,8.86,8.86,8.86,0
2018-05-23,8.86,8.86,8.86,8.86,0
2018-05-24,8.86,8.86,8.86,8.86,0
2018-05-25,8.86,8.86,8.86,8.86,0
2018-05-28,8.86,8.86,8.86,8.86,0
2018-05-29,8.86,8.86,8.86,8.86,0
2018-05-30,8.86,8.86,8.86,8.86,0
2018-05-31,8.86,8.86,8.86,8.86,0
2018-06-01,8.86,8.86,8.86,8.86,0
2018-06-04,8.86,8.86,8.86,8.86,0
2018-06-05,8.86,8.86,8.86,8.86,0
2018-06-06,8.86,8.86,8.86,8.86,0
2018-06-07,8.86,8.86,8.86,8.86,0
2018-06-08,8.86,8.86,8.86,8.86,0
2018-06-11,8.86,8.86,8.86,8.86,0
2018-06-12,8.82,8.82,8.82,8.82,0
2018-06-13,8.82,8.82,8.82,8.82,0
2018-06-14,8.82,8.82,8.82,8.82,0
2018-06-15,8.82,8.82,8.82,8.82,0
2018-06-18,8.82,8.82,8.82,8.82,0
2018-06-19,8.82,8.82,8.82,8.82,0
2018-06-20,8.82,8.82,8.82,8.82,0
2018-06-21,8.82,8.82,8.82,8.82,0
2018-06-22,8.82,8.82,8.82,8.82,0
2018-06-25,8.82,8.82,8.82,8.82,0
2018-06-26,8.82,8.82,8.82,8.82,0
2018-06-27,8.82,8.82,8.82,8.82,0
2018-06-28,8.82,8.82,8.82,8.82,0
2018-06-29,8.82,8.82,8.82,8.82,0
2018-07-02,8.82,8.82,8.82,8.82,0
2018-07-03,8.82,8.82,8.82,8.82,0
2018-07-04,8.82,8.82,8.82,8.82,0
2018-07-05,8.82,8.82,8.82,8.82,0
2018-07-06,8.82,8.82,8.82,8.82,0
2018-07-09,8.82,8.82,8.82,8.82,0
2018-07-10,8.82,8.82,8.82,8.82,0
2018-07-11,8.82,8.82,8.82,8.82,0
2018-07-12,8.82,8.82,8.82,8.82,0
2018-07-13,8.82,8.82,8.82,8.82,0
2018-07-16,8.82,8.82,8.82,8.82,0
2018-07-17,8.82,8.82,8.82,8.82,0
2018-07-18,8.82,8.82,8.82,8.82,0
2018-07-19,8.82,8.82,8.82,8.82,0
2018-07-20,8.82,8.82,8.82,8.82,0
2018-07-23,8.82,8.82,8.82,8.82,0
2018-07-24,8.82,8.82,8.82,8.82,0
2018-07-25,8.82,8.82,8.82,8.82,0
2018-07-26,8.82,8.82,8.82,8.82,0
2018-07-27,8.82,8.82,8.82,8.82,0
2018-07-30,8.82,8.82,8.82,8.82,0
2018-07-31,8.82,8.82,8.82,8.82,0
2018-08-01,8.82,8.82,8.82,8.82,0
2018-08-02,8.82,8.82,8.82,8.82,0
2018-08-03,8.82,8.82,8.82,8.82,0
2018-08-06,8.82,8.82,8.82,8.82,0
2018-08-07,8.82,8.82,8.82,8.82,0
2018-08-08,8.82,8.82,8.82,8.82,0
2018-08-09,8.82,8.82,8.82,8.82,0
2018-08-10,8.82,8.82,8.82,8.82,0
2018-08-13,8.82,8.82,8.82,8.82,0
2018-08-14,8.82,8.82,8.82,8.82,0
2018-08-15,8.82,8.82,8.82,8.82,0
2018-08-16,8.82,8.82,8.82,8.82,0
2018-08-17,8.82,8.82,8.82,8.82,0
2018-08-20,8.82,8.82,8.82,8.82,0
2018-08-21,8.82,8.82,8.82,8.82,0
2018-08-22,8.82,8.82,8.82,8.82,0
2018-08-23,8.82,8.82,8.82,8.82,0
2018-08-24,8.82,8.82,8.82,8.82,0
2018-08-27,8.82,8.82,8.82,8.82,0
2018-08-28,8.82,8.82,8.82,8.82,0
2018-08-29,8.82,8.82,8.82,8.82,0
2018-08-30,8.82,8.82,8.82,8.82,0
2018-08-31,8.82,8.82,8.82,8.82,0
2018-09-04,8.82,8.82,8.82,8.82,0
2018-09-05,8.82,8.82,8.82,8.82,0
2018-09-06,8.82,8.82,8.82,8.82,0
2018-09-07,8.82,8.82,8.82,8.82,0
2018-09-10,8.82,8.82,8.82,8.82,0
2018-09-11,8.82,8.82,8.82,8.82,0
2018-09-12,8.82,8.82,8.82,8.82,0
2018-09-13,8.82,8.82,8.82,8.82,0
2018-09-14,8.82,8.82,8.82,8.82,0
2018-09-17,8.82,8.82,8.82,8.82,0
2018-09-18,8.82,8.82,8.82,8.82,0
2018-09-19,8.82,8.82,8.82,8.82,0
2018-09-20,8.82,8.82,8.82,8.82,0
2018-09-21,8.82,8.82,8.82,8.82,0
2018-09-24,8.82,8.82,8.82,8.82,0
2018-09-25,8.82,8.82,8.82,8.82,0
2018-09-26,8.82,8.82,8.82,8.82,0
2018-09-27,8.82,8.82,8.82,8.82,0
2018-09-28,8.82,8.82,8.82,8.82,0
2018-10-01,8.82,8.82,8.82,8.82,0
2018-10-02,8.82,8.82,8.82,8.82,0
2018-10-03,8.82,8.82,8.82,8.82,0
2018-10-04,8.82,8.82,8.82,8.82,0
2018-10-05,8.82,8.82,8.82,8.82,0
2018-10-08,8.82,8.82,8.82,8.82,0
2018-10-09,8.82,8.82,8.82,8.82,0
2018-10-10,8.82,8.82,8.82,8.82,0
2018-10-11,8.82,8.82,8.82,8.82,0
2018-10-12,8.82,8.82,8.82,8.82,0
2018-10-15,8.82,8.82,8.82,8.82,0
2018-10-16,8.82,8.82,8.82,8.82,0
2018-10-17,8.82,8.82,8.82,8.82,0
2018-10-18,8.82,8.82,8.82,8.82,0
2018-10-19,8.82,8.82,8.82,8.82,0
2018-10-22,8.82,8.82,8.82,8.82,0
2018-10-23,8.82,8.82,8.82,8.82,0
2018-10-24,8.82,8.82,8.82,8.82,0
2018-10-25,8.82,8.82,8.82,8.82,0
2018-10-26,8.82,8.82,8.82,8.82,0
2018-10-29,8.82,8.82,8.82,8.82,0
2018-10-30,8.82,8.82,8.82,8.82,0
2018-10-31,8.82,8.82,8.82,8.82,0
2018-11-01,8.82,8.82,8.82,8.82,0
2018-11-02,8.82,8.82,8.82,8.82,0
2018-11-05,8.82,8.82,8.82,8.82,0
2018-11-06,8.82,8.82,8.82,8.82,0
2018-11-07,8.82,8.82,8.82,8.82,0
2018-11-08,8.82,8.82,8.82,8.82,0
2018-11-09,8.82,8.82,8.82,8.82,0
2018-11-12,8.82,8.82,8.82,8.82,0
2018-11-13,8.82,8.82,8.82,8.82,0
2018-11-14,8.82,8.82,8.82,8.82,0
2018-11-15,8.82,8.82,8.82,8.82,0
2018-11-16,8.82,8.82,8.82,8.82,0
2018-11-19,12.28,8.82,12.28,12.28,100
2018-11-20,12.28,12.28,12.28,12.28,0
2018-11-21,12.28,12.28,12.28,12.28,0
2018-11-22,12.28,12.28,12.28,12.28,0
2018-11-23,12.28,12.28,12.28,12.28,0
2018-11-26,12.28,12.28,12.28,12.28,0
2018-11-27,12.28,12.28,12.28,12.28,8
2018-11-28,12.28,12.28,12.28,12.28,0
2018-11-29,12.28,12.28,12.28,12.28,0
2018-11-30,12.28,12.28,12.28,12.28,0
2018-12-03,12.28,12.28,12.28,12.28,0
2018-12-04,12.28,12.28,12.28,12.28,0
2018-12-05,12.28,12.28,12.28,12.28,0
2018-12-06,12.28,12.28,12.28,12.28,0
2018-12-07,12.28,12.28,12.28,12.28,0
2018-12-10,12.28,12.28,12.28,12.28,0
2018-12-11,12.28,12.28,12.28,12.28,0
2018-12-12,12.28,12.28,12.28,12.28,0
2018-12-13,12.28,12.28,12.28,12.28,0
2018-12-14,12.28,12.28,12.28,12.28,0
2018-12-17,12.28,12.28,12.28,12.28,0
2018-12-18,12.28,12.28,12.28,12.28,0
2018-12-19,12.28,12.28,12.28,12.28,0
2018-12-20,12.28,12.28,12.28,12.28,0
2018-12-21,12.28,12.28,12.28,12.28,0
2018-12-24,12.28,12.28,12.28,12.28,0
2018-12-25,12.28,12.28,12.28,12.28,0
2018-12-26,12.28,12.28,12.28,12.28,0
2018-12-27,17.14,17.14,17.14,17.14,100
2018-12-28,17.14,17.14,17.14,17.14,0
2019-01-02,17.14,17.14,17.14,17.14,47
2019-01-03,17.14,17.14,17.14,17.14,0
2019-01-04,17.14,17.14,17.14,17.14,0
2019-01-07,17.14,17.14,17.14,17.14,0
2019-01-08,17.14,17.14,17.14,17.14,0
2019-01-09,17.14,17.14,17.14,17.14,0
2019-01-10,17.14,17.14,17.14,17.14,0
2019-01-11,17.14,17.14,17.14,17.14,0
2019-01-14,17.14,17.14,17.14,17.14,0
2019-01-15,17.14,17.14,17.14,17.14,0
2019-01-16,17.14,17.14,17.14,17.14,0
2019-01-17,17.14,17.14,17.14,17.14,0
2019-01-18,17.14,17.14,17.14,17.14,0
2019-01-21,17.14,17.14,17.14,17.14,0
2019-01-22,17.14,17.14,17.14,17.14,0
2019-01-23,17.14,17.14,17.14,17.14,0
2019-01-24,17.14,17.14,17.14,17.14,0
2019-01-25,17.14,17.14,17.14,17.14,0
2019-01-28,17.14,17.14,17.14,17.14,0
2019-01-29,17.14,17.14,17.14,17.14,0
2019-01-30,17.14,17.14,17.14,17.14,0
2019-01-31,17.14,17.14,17.14,17.14,0
2019-02-01,17.14,17.14,17.14,17.14,0
2019-02-11,17.14,17.14,17.14,17.14,0
2019-02-12,17.14,17.14,17.14,17.14,0
2019-02-13,17.14,17.14,17.14,17.14,0
2019-02-14,17.14,17.14,17.14,17.14,0
2019-02-15,17.14,17.14,17.14,17.14,0
2019-02-18,17.14,17.14,17.14,17.14,0
2019-02-19,17.14,17.14,17.14,17.14,0
2019-02-20,17.14,17.14,17.14,17.14,0
2019-02-21,17.14,17.14,17.14,17.14,0
2019-02-22,17.14,17.14,17.14,17.14,0
2019-02-25,17.14,17.14,17.14,17.14,0
2019-02-26,17.14,17.14,17.14,17.14,0
2019-02-27,17.14,17.14,17.14,17.14,0
2019-02-28,17.14,17.14,17.14,17.14,0
2019-03-01,17.14,17.14,17.14,17.14,0
2019-03-04,17.14,17.14,17.14,17.14,0
2019-03-05,17.14,17.14,17.14,17.14,0
2019-03-06,17.14,17.14,17.14,17.14,0
2019-03-07,17.14,17.14,17.14,17.14,0
2019-03-08,17.14,17.14,17.14,17.14,0
2019-03-11,17.14,17.14,17.14,17.14,0
2019-03-12,17.14,17.14,17.14,17.14,0
2019-03-13,17.14,17.14,17.14,17.14,0
2019-03-14,17.14,17.14,17.14,17.14,0
2019-03-15,17.14,17.14,17.14,17.14,0
2019-03-18,17.14,17.14,17.14,17.14,0
2019-03-19,17.14,17.14,17.14,17.14,0
2019-03-20,17.14,17.14,17.14,17.14,0
2019-03-21,17.14,17.14,17.14,17.14,0
2019-03-22,17.14,17.14,17.14,17.14,0
2019-03-25,17.14,17.14,17.14,17.14,0
2019-03-26,17.14,17.14,17.14,17.14,0
2019-03-27,17.14,17.14,17.14,17.14,0
2019-03-28,17.14,17.14,17.14,17.14,0
2019-03-29,17.14,17.14,17.14,17.14,0
2019-04-01,17.14,17.14,17.14,17.14,0
2019-04-02,17.14,17.14,17.14,17.14,0
2019-04-03,17.14,17.14,17.14,17.14,0
2019-04-04,17.14,17.14,17.14,17.14,0
2019-04-05,17.14,17.14,17.14,17.14,0
2019-04-08,17.14,17.14,17.14,17.14,0
2019-04-09,17.14,17.14,17.14,17.14,0
2019-04-10,17.14,17.14,17.14,17.14,0
2019-04-11,17.14,17.14,17.14,17.14,0
2019-04-12,17.14,17.14,17.14,17.14,0
2019-04-16,17.14,17.14,17.14,17.14,0
2019-04-17,17.14,17.14,17.14,17.14,0
2019-04-18,17.14,17.14,17.14,17.14,0
2019-04-19,17.14,17.14,17.14,17.14,0
2019-04-22,17.14,17.14,17.14,17.14,0
2019-04-23,17.14,17.14,17.14,17.14,0
2019-04-24,17.14,17.14,17.14,17.14,0
2019-04-25,17.14,17.14,17.14,17.14,0
2019-04-26,17.14,17.14,17.14,17.14,0
2019-05-02,17.14,17.14,17.14,17.14,0
2019-05-03,17.14,17.14,17.14,17.14,0
2019-05-06,17.14,17.14,17.14,17.14,0
2019-05-07,17.14,17.14,17.14,17.14,0
2019-05-08,17.14,17.14,17.14,17.14,0
2019-05-09,17.14,17.14,17.14,17.14,0
2019-05-10,17.14,17.14,17.14,17.14,0
2019-05-13,17.14,17.14,17.14,17.14,0
2019-05-14,17.14,17.14,17.14,17.14,0
2019-05-15,17.14,17.14,17.14,17.14,0
2019-05-16,17.14,17.14,17.14,17.14,0
2019-05-17,17.14,17.14,17.14,17.14,0
2019-05-20,17.14,17.14,17.14,17.14,0
2019-05-21,17.14,17.14,17.14,17.14,0
2019-05-22,17.14,17.14,17.14,17.14,0
2019-05-23,17.14,17.14,17.14,17.14,0
2019-05-24,17.14,17.14,17.14,17.14,0
2019-05-27,17.14,17.14,17.14,17.14,0
2019-05-28,17.14,17.14,17.14,17.14,0
2019-05-29,17.14,17.14,17.14,17.14,0
2019-05-30,17.14,17.14,17.14,17.14,0
2019-05-31,17.14,17.14,17.14,17.14,0
2019-06-03,17.1,17.2,17.2,17.2,0
2019-06-04,17.1,17.2,17.2,17.2,0
2019-06-05,17.1,17.2,17.2,17.2,0
2019-06-06,17.1,17.2,17.2,17.2,0
2019-06-07,17.1,17.2,17.2,17.2,0
2019-06-10,17.1,17.2,17.2,17.2,0
2019-06-11,17.1,17.2,17.2,17.2,0
2019-06-12,17.1,17.2,17.2,17.2,0
2019-06-13,17.1,17.2,17.2,17.2,0
2019-06-14,17.1,17.2,17.2,17.2,0
2019-06-17,17.1,17.2,17.2,17.2,0
2019-06-18,17.1,17.2,17.2,17.2,0
2019-06-19,17.1,17.2,17.2,17.2,0
2019-06-20,17.1,17.1,17.1,17.1,0
2019-06-21,17.1,17.1,17.1,17.1,0
2019-06-24,17.1,17.2,17.2,17.2,0
2019-06-25,17.1,17.2,17.2,17.2,0
2019-06-26,17.1,17.2,17.2,17.2,0
2019-06-27,17.1,17.2,17.2,17.2,0
2019-06-28,17.1,17.2,17.2,17.2,0
2019-07-01,17.1,17.2,17.2,17.2,0
2019-07-02,17.1,17.2,17.2,17.2,0
2019-07-03,17.1,17.2,17.2,17.2,0
2019-07-04,17.1,17.1,17.1,17.1,0
2019-07-05,17.1,17.2,17.2,17.2,0
2019-07-08,17.1,17.2,17.2,17.2,0
2019-07-09,17.1,17.2,17.2,17.2,0
2019-07-10,17.1,17.2,17.2,17.2,0
2019-07-11,17.1,17.2,17.2,17.2,0
2019-07-12,17.1,17.2,17.2,17.2,0
2019-07-15,17.1,17.2,17.2,17.2,0
2019-07-16,17.1,17.2,17.2,17.2,0
2019-07-17,17.1,17.2,17.2,17.2,0
2019-07-18,17.1,17.2,17.2,17.2,0
2019-07-19,17.1,17.2,17.2,17.2,0
2019-07-22,17.1,17.2,17.2,17.2,0
2019-07-23,17.1,17.2,17.2,17.2,0
2019-07-24,17.1,17.2,17.2,17.2,0
2019-07-25,17.1,17.2,17.2,17.2,0
2019-07-26,17.1,17.2,17.2,17.2,0
2019-07-29,17.1,17.2,17.2,17.2,0
2019-07-30,17.1,17.2,17.2,17.2,0
2019-07-31,17.1,17.2,17.2,17.2,0
2019-08-01,17.1,17.2,17.2,17.2,0
2019-08-02,17.1,17.2,17.2,17.2,0
2019-08-05,17.1,17.2,17.2,17.2,0
2019-08-06,17.1,17.2,17.2,17.2,0
2019-08-07,17.1,17.2,17.2,17.2,0
2019-08-08,17.1,17.2,17.2,17.2,0
2019-08-09,17.1,17.2,17.2,17.2,0
2019-08-12,17.1,17.2,17.2,17.2,0
2019-08-13,17.1,17.2,17.2,17.2,0
2019-08-14,17.1,17.2,17.2,17.2,0
2019-08-15,17.1,17.2,17.2,17.2,0
2019-08-16,17.1,17.2,17.2,17.2,0
2019-08-19,17.1,17.2,17.2,17.2,0
2019-08-20,17.1,17.2,17.2,17.2,0
2019-08-21,17.1,17.2,17.2,17.2,0
2019-08-22,17.1,17.2,17.2,17.2,0
2019-08-23,17.1,17.2,17.2,17.2,0
2019-08-26,17.1,17.2,17.2,17.2,0
2019-08-27,17.1,17.2,17.2,17.2,0
2019-08-28,17.1,17.2,17.2,17.2,0
2019-08-29,17.1,17.2,17.2,17.2,0
2019-08-30,17.1,17.2,17.2,17.2,0
2019-09-03,17.1,17.2,17.2,17.2,0
2019-09-04,17.1,17.2,17.2,17.2,0
2019-09-05,17.1,17.2,17.2,17.2,0
2019-09-06,17.1,17.2,17.2,17.2,0
2019-09-09,17.1,17.2,17.2,17.2,0
2019-09-10,17.1,17.2,17.2,17.2,0
2019-09-11,17.1,17.2,17.2,17.2,0
2019-09-12,17.1,17.2,17.2,17.2,0
2019-09-13,17.1,17.2,17.2,17.2,0
2019-09-16,17.1,17.2,17.2,17.2,0
2019-09-17,17.1,17.2,17.2,17.2,0
2019-09-18,17.1,17.2,17.2,17.2,0
2019-09-19,17.1,17.2,17.2,17.2,0
2019-09-20,17.1,17.2,17.2,17.2,0
2019-09-23,17.1,17.2,17.2,17.2,0
2019-09-24,17.1,17.2,17.2,17.2,0
2019-09-25,17.1,17.2,17.2,17.2,0
2019-09-26,17.1,17.2,17.2,17.2,0
2019-09-27,17.1,17.2,17.2,17.2,0
2019-09-30,17.1,17.2,17.2,17.2,0
2019-10-01,17.1,17.2,17.2,17.2,0
2019-10-02,17.1,17.2,17.2,17.2,0
2019-10-03,17.1,17.2,17.2,17.2,0
2019-10-04,17.1,17.2,17.2,17.2,0
2019-10-07,17.1,17.2,17.2,17.2,0
2019-10-08,17.1,17.2,17.2,17.2,0
2019-10-09,17.1,17.2,17.2,17.2,0
2019-10-10,17.1,17.2,17.2,17.2,0
2019-10-11,17.1,17.2,17.2,17.2,0
2019-10-14,17.1,17.2,17.2,17.2,0
2019-10-15,17.1,17.1,17.1,17.1,0
2019-10-16,17.1,17.2,17.2,17.2,0
2019-10-17,17.1,17.2,17.2,17.2,0
2019-10-18,17.1,17.2,17.2,17.2,0
2019-10-21,17.1,17.2,17.2,17.2,0
2019-10-22,17.1,17.2,17.2,17.2,0
2019-10-23,17.1,17.2,17.2,17.2,0
2019-10-24,17.1,17.2,17.2,17.2,0
2019-10-25,17.1,17.2,17.2,17.2,0
2019-10-28,17.1,17.2,17.2,17.2,0
2019-10-29,17.1,17.2,17.2,17.2,0
2019-10-30,17.1,17.2,17.2,17.2,0
2019-10-31,17.1,17.1,17.1,17.1,0
2019-11-01,17.1,17.2,17.2,17.2,0
2019-11-04,17.1,17.2,17.2,17.2,0
2019-11-05,17.1,17.2,17.2,17.2,0
2019-11-06,17.1,17.2,17.2,17.2,0
2019-11-07,17.1,17.2,17.2,17.2,0
2019-11-08,17.1,17.2,17.2,17.2,0
2019-11-11,17.1,17.2,17.2,17.2,0
2019-11-12,17.1,17.2,17.2,17.2,0
2019-11-13,17.1,17.2,17.2,17.2,0
2019-11-14,17.1,17.2,17.2,17.2,0
2019-11-15,17.1,17.2,17.2,17.2,0
2019-11-18,17.1,17.2,17.2,17.2,0
2019-11-19,17.1,17.2,17.2,17.2,0
2019-11-20,17.1,17.2,17.2,17.2,0
2019-11-21,17.1,17.2,17.2,17.2,0
2019-11-22,17.1,17.1,17.1,17.1,0
2019-11-25,17.1,17.2,17.2,17.2,0
2019-11-26,17.1,17.2,17.2,17.2,0
2019-11-27,17.1,17.2,17.2,17.2,0
2019-11-28,17.1,17.2,17.2,17.2,0
2019-11-29,17.1,17.2,17.2,17.2,0
2019-12-02,17.1,17.1,17.1,17.1,0
2019-12-03,17.1,17.2,17.2,17.2,0
2019-12-04,17.1,17.2,17.2,17.2,0
2019-12-05,17.1,17.2,17.2,17.2,0
2019-12-06,17.1,17.2,17.2,17.2,0
2019-12-09,17.1,17.2,17.2,17.2,0
2019-12-10,17.1,17.2,17.2,17.2,0
2019-12-11,17.1,17.2,17.2,17.2,0
2019-12-12,17.1,17.2,17.2,17.2,0
2019-12-13,17.1,17.2,17.2,17.2,0
2019-12-16,17.1,17.2,17.2,17.2,0
2019-12-17,17.1,17.2,17.2,17.2,0
2019-12-18,17.1,17.2,17.2,17.2,0
2019-12-19,17.1,17.2,17.2,17.2,0
2019-12-20,17.1,17.2,17.2,17.2,0
2019-12-23,17.1,17.2,17.2,17.2,0
2019-12-24,17.1,17.2,17.2,17.2,0
2019-12-25,17.1,17.2,17.2,17.2,0
2019-12-26,17.1,17.2,17.2,17.2,0
2019-12-27,17.1,17.2,17.2,17.2,0
2019-12-30,17.1,17.2,17.2,17.2,0
2019-12-31,17.1,17.2,17.2,17.2,0
2020-01-02,17.1,17.2,17.2,17.2,0
2020-01-03,17.1,17.2,17.2,17.2,0
2020-01-06,17.1,17.2,17.2,17.2,0
2020-01-07,17.1,17.2,17.2,17.2,0
2020-01-08,17.1,17.2,17.2,17.2,0
2020-01-09,17.1,17.2,17.2,17.2,0
2020-01-10,17.1,17.2,17.2,17.2,0
2020-01-13,17.1,17.2,17.2,17.2,0
2020-01-14,17.1,17.2,17.2,17.2,0
2020-01-15,17.1,17.2,17.2,17.2,0
2020-01-16,17.1,17.2,17.2,17.2,0
2020-01-17,17.1,17.2,17.2,17.2,0
2020-01-20,17.1,17.2,17.2,17.2,0
2020-01-21,17.1,17.2,17.2,17.2,0
2020-01-22,17.1,17.2,17.2,17.2,0
2020-01-30,17.1,17.2,17.2,17.2,0
2020-01-31,17.1,17.2,17.2,17.2,0
2020-02-03,17.1,17.2,17.2,17.2,0
2020-02-04,17.1,17.2,17.2,17.2,0
2020-02-05,17.1,17.2,17.2,17.2,0
2020-02-06,17.1,17.2,17.2,17.2,0
2020-02-07,17.1,17.2,17.2,17.2,0
2020-02-10,17.1,17.2,17.2,17.2,0
2020-02-11,17.1,17.2,17.2,17.2,0
2020-02-12,17.1,17.2,17.2,17.2,0
2020-02-13,17.1,17.2,17.2,17.2,0
2020-02-14,17.1,17.2,17.2,17.2,0
2020-02-17,17.1,17.2,17.2,17.2,0
2020-02-18,17.1,17.2,17.2,17.2,0
2020-02-19,17.1,17.2,17.2,17.2,0
2020-02-20,17.1,17.2,17.2,17.2,0
2020-02-21,17.1,17.2,17.2,17.2,0
2020-02-24,17.1,17.2,17.2,17.2,0
2020-02-25,17.1,17.2,17.2,17.2,0
2020-02-26,17.1,17.2,17.2,17.2,0
2020-02-27,17.1,17.2,17.2,17.2,0
2020-02-28,17.1,17.2,17.2,17.2,0
2020-03-02,17.1,17.2,17.2,17.2,0
2020-03-03,17.1,17.2,17.2,17.2,0
2020-03-04,17.1,17.2,17.2,17.2,0
2020-03-05,17.1,17.2,17.2,17.2,0
2020-03-06,17.1,17.2,17.2,17.2,0
2020-03-09,17.1,17.2,17.2,17.2,0
2020-03-10,17.1,17.2,17.2,17.2,0
2020-03-11,17.1,17.2,17.2,17.2,0
2020-03-12,17.1,17.2,17.2,17.2,0
2020-03-13,17.1,17.2,17.2,17.2,0
2020-03-16,17.1,17.2,17.2,17.2,0
2020-03-17,17.1,17.2,17.2,17.2,0
2020-03-18,17.1,17.2,17.2,17.2,0
2020-03-19,17.1,17.2,17.2,17.2,0
2020-03-20,17.1,17.2,17.2,17.2,0
2020-03-23,17.1,17.2,17.2,17.2,0
2020-03-24,17.1,17.2,17.2,17.2,0
2020-03-25,17.1,17.2,17.2,17.2,0
2020-03-26,17.1,17.2,17.2,17.2,0
2020-03-27,17.1,17.2,17.2,17.2,0
2020-03-30,17.1,17.2,17.2,17.2,0
