time,open,high,low,close,volume
2018-10-10,8.87,0.0,0.0,0.0,0
2018-10-11,8.87,8.87,8.87,8.87,0
2018-10-12,8.87,8.87,8.87,8.87,0
2018-10-15,8.87,8.87,8.87,8.87,0
2018-10-16,8.87,8.87,8.87,8.87,0
2018-10-17,8.87,8.87,8.87,8.87,0
2018-10-18,8.87,8.87,8.87,8.87,0
2018-10-19,8.87,8.87,8.87,8.87,0
2018-10-22,12.32,12.32,12.32,12.32,5000
2018-10-23,13.14,13.14,13.14,13.14,5000
2018-10-24,14.37,14.37,14.37,14.37,2000
2018-10-25,16.42,16.42,14.37,14.37,300
2018-10-26,15.03,15.03,15.03,15.03,0
2018-10-29,15.03,15.03,15.03,15.03,0
2018-10-30,15.03,15.03,15.03,15.03,0
2018-10-31,15.03,15.03,15.03,15.03,0
2018-11-01,16.01,17.24,12.81,12.81,400
2018-11-02,15.52,15.52,15.52,15.52,0
2018-11-05,16.42,17.82,13.22,13.22,1000
2018-11-06,16.83,16.83,16.83,16.83,0
2018-11-07,16.83,16.83,16.83,16.83,0
2018-11-08,16.83,16.83,16.83,16.83,0
2018-11-09,14.37,19.29,14.37,14.37,600
2018-11-12,17.24,17.24,17.24,17.24,0
2018-11-13,17.24,17.24,17.24,17.24,0
2018-11-14,17.24,17.24,17.24,17.24,0
2018-11-15,17.24,17.24,17.24,17.24,0
2018-11-16,17.24,17.24,17.24,17.24,0
2018-11-19,17.24,17.24,17.24,17.24,0
2018-11-20,17.24,17.24,17.24,17.24,0
2018-11-21,17.24,17.24,17.24,17.24,0
2018-11-22,17.24,14.37,14.37,14.37,0
2018-11-23,17.24,14.37,14.37,14.37,0
2018-11-26,17.24,14.37,14.37,14.37,0
2018-11-27,17.24,14.37,14.37,14.37,0
2018-11-28,17.24,14.37,14.37,14.37,0
2018-11-29,17.24,14.37,14.37,14.37,0
2018-11-30,17.24,14.37,14.37,14.37,0
2018-12-03,17.24,14.37,14.37,14.37,0
2018-12-04,17.24,14.37,14.37,14.37,0
2018-12-05,17.24,14.37,14.37,14.37,0
2018-12-06,14.7,14.7,14.7,14.7,1000
2018-12-07,14.7,14.7,14.7,14.7,0
2018-12-10,14.7,14.7,14.7,14.7,0
2018-12-11,14.7,14.7,14.7,14.7,0
2018-12-12,14.7,14.7,14.7,14.7,0
2018-12-13,14.7,14.7,14.7,14.7,0
2018-12-14,14.7,14.7,14.7,14.7,0
2018-12-17,14.7,14.7,14.7,14.7,0
2018-12-18,14.7,14.7,14.7,14.7,0
2018-12-19,14.7,14.7,14.7,14.7,0
2018-12-20,14.7,14.7,14.7,14.7,0
2018-12-21,14.7,14.7,14.7,14.7,0
2018-12-24,14.7,14.7,14.7,14.7,0
2018-12-25,14.7,14.7,14.7,14.7,0
2018-12-26,14.7,14.7,14.7,14.7,0
2018-12-27,12.56,12.56,12.56,12.56,3400
2018-12-28,12.56,12.56,12.56,12.56,0
2019-01-02,12.56,12.56,12.56,12.56,0
2019-01-03,12.56,12.56,12.56,12.56,0
2019-01-04,12.56,12.56,12.56,12.56,0
2019-01-07,12.56,12.56,12.56,12.56,0
2019-01-08,12.56,12.56,12.56,12.56,0
2019-01-09,12.56,12.56,12.56,12.56,0
2019-01-10,10.76,10.76,10.76,10.76,20000
2019-01-11,10.76,10.76,10.76,10.76,0
2019-01-14,10.76,10.76,10.76,10.76,0
2019-01-15,10.76,10.76,10.76,10.76,0
2019-01-16,10.76,10.76,10.76,10.76,0
2019-01-17,10.76,10.76,10.76,10.76,0
2019-01-18,10.76,10.76,10.76,10.76,0
2019-01-21,10.76,10.76,10.76,10.76,0
2019-01-22,10.76,10.76,10.76,10.76,0
2019-01-23,10.76,10.76,10.76,10.76,0
2019-01-24,10.76,10.76,10.76,10.76,0
2019-01-25,10.76,10.76,10.76,10.76,0
2019-01-28,10.76,10.76,10.76,10.76,0
2019-01-29,10.76,10.76,10.76,10.76,0
2019-01-30,10.76,10.76,10.76,10.76,0
2019-01-31,10.76,10.76,10.76,10.76,0
2019-02-01,10.76,10.76,10.76,10.76,0
2019-02-11,10.76,10.76,10.76,10.76,0
2019-02-12,9.85,9.85,9.2,9.2,400
2019-02-13,9.52,9.52,8.05,9.36,4000
2019-02-14,8.87,9.36,9.36,9.36,0
2019-02-15,7.64,7.64,7.64,7.64,100
2019-02-18,7.64,7.64,7.64,7.64,0
2019-02-19,7.64,7.64,7.64,7.64,0
2019-02-20,7.64,7.64,7.64,7.64,0
2019-02-21,7.64,7.64,7.64,7.64,0
2019-02-22,7.64,7.64,7.64,7.64,5000
2019-02-25,7.64,7.64,7.64,7.64,0
2019-02-26,7.64,7.64,7.64,7.64,0
2019-02-27,7.64,7.64,7.64,7.64,0
2019-02-28,6.57,6.57,6.57,6.57,100
2019-03-01,6.57,6.57,6.57,6.57,0
2019-03-04,6.57,6.57,6.57,6.57,100
2019-03-05,6.57,6.57,6.57,6.57,0
2019-03-06,6.57,6.57,6.57,6.57,0
2019-03-07,6.57,6.57,6.57,6.57,0
2019-03-08,5.58,5.58,5.58,5.58,100
2019-03-11,5.58,5.58,5.58,5.58,0
2019-03-12,5.58,5.58,5.58,5.58,0
2019-03-13,5.58,5.58,5.58,5.58,0
2019-03-14,5.58,5.58,5.58,5.58,0
2019-03-15,5.58,5.58,5.58,5.58,0
2019-03-18,5.58,5.58,5.58,5.58,0
2019-03-19,5.58,5.58,5.58,5.58,0
2019-03-20,5.58,5.58,5.58,5.58,0
2019-03-21,5.58,5.58,5.58,5.58,0
2019-03-22,5.58,5.58,5.58,5.58,0
2019-03-25,5.58,5.58,5.58,5.58,0
2019-03-26,5.58,5.58,5.58,5.58,0
2019-03-27,5.58,5.58,5.58,5.58,0
2019-03-28,5.58,5.58,5.58,5.58,0
2019-03-29,5.58,5.58,5.58,5.58,0
2019-04-01,5.58,5.58,5.58,5.58,0
2019-04-02,5.58,5.58,5.58,5.58,0
2019-04-03,5.58,5.58,5.58,5.58,0
2019-04-04,5.58,5.58,5.58,5.58,0
2019-04-05,5.58,5.58,5.58,5.58,0
2019-04-08,5.58,5.58,5.58,5.58,0
2019-04-09,5.58,5.58,5.58,5.58,0
2019-04-10,5.58,5.58,5.58,5.58,0
2019-04-11,4.93,4.93,4.93,4.93,500
2019-04-12,4.93,4.93,4.93,4.93,0
2019-04-16,5.67,5.67,5.67,5.67,100
2019-04-17,5.67,5.67,5.67,5.67,0
2019-04-18,5.67,5.67,5.67,5.67,0
